"filename", "language", "Makefile", "C", "Python", "comment", "blank", "total"
"c:\Users\cripe\Desktop\CRBout\build.py", "Python", 0, 0, 6, 1, 3, 10
"c:\Users\cripe\Desktop\CRBout\lib\minunit\minunit.h", "C", 0, 276, 0, 69, 46, 391
"c:\Users\cripe\Desktop\CRBout\lib\portablesnips\debugtrap.h", "C", 0, 68, 0, 9, 6, 83
"c:\Users\cripe\Desktop\CRBout\makefile", "Makefile", 9, 0, 0, 0, 4, 13
"c:\Users\cripe\Desktop\CRBout\scrapped1\dynlist.c", "C", 0, 134, 0, 5, 37, 176
"c:\Users\cripe\Desktop\CRBout\scrapped1\dynlist.h", "C", 0, 26, 0, 0, 5, 31
"c:\Users\cripe\Desktop\CRBout\scrapped1\errors.c", "C", 0, 36, 0, 0, 8, 44
"c:\Users\cripe\Desktop\CRBout\scrapped1\errors.h", "C", 0, 23, 0, 0, 7, 30
"c:\Users\cripe\Desktop\CRBout\scrapped1\main.c", "C", 0, 12, 0, 51, 5, 68
"c:\Users\cripe\Desktop\CRBout\scrapped1\main.h", "C", 0, 0, 0, 0, 1, 1
"c:\Users\cripe\Desktop\CRBout\scrapped1\playground.c", "C", 0, 64, 0, 1, 14, 79
"c:\Users\cripe\Desktop\CRBout\scrapped1\playground.h", "C", 0, 17, 0, 0, 6, 23
"c:\Users\cripe\Desktop\CRBout\scrapped1\rbstate.c", "C", 0, 453, 0, 0, 137, 590
"c:\Users\cripe\Desktop\CRBout\scrapped1\rbstate.h", "C", 0, 134, 0, 1, 15, 150
"c:\Users\cripe\Desktop\CRBout\scrapped1\tests.c", "C", 0, 56, 0, 106, 10, 172
"c:\Users\cripe\Desktop\CRBout\scrapped1\tests.h", "C", 0, 4, 0, 0, 2, 6
"c:\Users\cripe\Desktop\CRBout\scrapped1\utils.c", "C", 0, 18, 0, 0, 4, 22
"c:\Users\cripe\Desktop\CRBout\scrapped1\utils.h", "C", 0, 8, 0, 0, 6, 14
"c:\Users\cripe\Desktop\CRBout\src\errors.c", "C", 0, 24, 0, 21, 12, 57
"c:\Users\cripe\Desktop\CRBout\src\errors.h", "C", 0, 58, 0, 0, 12, 70
"c:\Users\cripe\Desktop\CRBout\src\fuck-that-io.c", "C", 0, 0, 0, 60, 0, 60
"c:\Users\cripe\Desktop\CRBout\src\heap.c", "C", 0, 67, 0, 0, 12, 79
"c:\Users\cripe\Desktop\CRBout\src\heap.h", "C", 0, 21, 0, 0, 6, 27
"c:\Users\cripe\Desktop\CRBout\src\main.c", "C", 0, 116, 0, 8, 23, 147
"c:\Users\cripe\Desktop\CRBout\src\parser.c", "C", 0, 80, 0, 0, 12, 92
"c:\Users\cripe\Desktop\CRBout\src\parser.h", "C", 0, 23, 0, 0, 6, 29
"c:\Users\cripe\Desktop\CRBout\src\playground.c", "C", 0, 119, 0, 126, 23, 268
"c:\Users\cripe\Desktop\CRBout\src\playground.h", "C", 0, 18, 0, 0, 5, 23
"c:\Users\cripe\Desktop\CRBout\src\rbio.c", "C", 0, 98, 0, 0, 19, 117
"c:\Users\cripe\Desktop\CRBout\src\rbio.h", "C", 0, 10, 0, 0, 3, 13
"c:\Users\cripe\Desktop\CRBout\src\rbstate.c", "C", 0, 826, 0, 9, 112, 947
"c:\Users\cripe\Desktop\CRBout\src\rbstate.h", "C", 0, 64, 0, 12, 12, 88
"c:\Users\cripe\Desktop\CRBout\src\stack.c", "C", 0, 65, 0, 2, 15, 82
"c:\Users\cripe\Desktop\CRBout\src\stack.h", "C", 0, 17, 0, 0, 4, 21
"c:\Users\cripe\Desktop\CRBout\src\tesc.c", "C", 0, 42, 0, 0, 4, 46
"c:\Users\cripe\Desktop\CRBout\src\tesc.h", "C", 0, 41, 0, 14, 17, 72
"c:\Users\cripe\Desktop\CRBout\src\utils.c", "C", 0, 32, 0, 0, 5, 37
"c:\Users\cripe\Desktop\CRBout\src\utils.h", "C", 0, 33, 0, 0, 9, 42
"c:\Users\cripe\Desktop\CRBout\src\valuetypes.h", "C", 0, 10, 0, 0, 5, 15
"Total", "-", 9, 3093, 6, 495, 632, 4235
