"filename", "language", "C", "Makefile", "Python", "comment", "blank", "total"
"c:\Users\cripe\Desktop\CRBout\build.py", "Python", 0, 0, 6, 1, 3, 10
"c:\Users\cripe\Desktop\CRBout\lib\minunit\minunit.h", "C", 276, 0, 0, 69, 46, 391
"c:\Users\cripe\Desktop\CRBout\lib\portablesnips\debugtrap.h", "C", 68, 0, 0, 9, 6, 83
"c:\Users\cripe\Desktop\CRBout\makefile", "Makefile", 0, 9, 0, 0, 4, 13
"c:\Users\cripe\Desktop\CRBout\scrapped1\dynlist.c", "C", 134, 0, 0, 5, 37, 176
"c:\Users\cripe\Desktop\CRBout\scrapped1\dynlist.h", "C", 26, 0, 0, 0, 5, 31
"c:\Users\cripe\Desktop\CRBout\scrapped1\errors.c", "C", 36, 0, 0, 0, 8, 44
"c:\Users\cripe\Desktop\CRBout\scrapped1\errors.h", "C", 23, 0, 0, 0, 7, 30
"c:\Users\cripe\Desktop\CRBout\scrapped1\main.c", "C", 12, 0, 0, 51, 5, 68
"c:\Users\cripe\Desktop\CRBout\scrapped1\main.h", "C", 0, 0, 0, 0, 1, 1
"c:\Users\cripe\Desktop\CRBout\scrapped1\playground.c", "C", 64, 0, 0, 1, 14, 79
"c:\Users\cripe\Desktop\CRBout\scrapped1\playground.h", "C", 17, 0, 0, 0, 6, 23
"c:\Users\cripe\Desktop\CRBout\scrapped1\rbstate.c", "C", 453, 0, 0, 0, 137, 590
"c:\Users\cripe\Desktop\CRBout\scrapped1\rbstate.h", "C", 134, 0, 0, 1, 15, 150
"c:\Users\cripe\Desktop\CRBout\scrapped1\tests.c", "C", 56, 0, 0, 106, 10, 172
"c:\Users\cripe\Desktop\CRBout\scrapped1\tests.h", "C", 4, 0, 0, 0, 2, 6
"c:\Users\cripe\Desktop\CRBout\scrapped1\utils.c", "C", 18, 0, 0, 0, 4, 22
"c:\Users\cripe\Desktop\CRBout\scrapped1\utils.h", "C", 8, 0, 0, 0, 6, 14
"c:\Users\cripe\Desktop\CRBout\src\errors.c", "C", 24, 0, 0, 21, 12, 57
"c:\Users\cripe\Desktop\CRBout\src\errors.h", "C", 68, 0, 0, 0, 16, 84
"c:\Users\cripe\Desktop\CRBout\src\fuck-that-io.c", "C", 0, 0, 0, 60, 0, 60
"c:\Users\cripe\Desktop\CRBout\src\heap.c", "C", 67, 0, 0, 1, 12, 80
"c:\Users\cripe\Desktop\CRBout\src\heap.h", "C", 21, 0, 0, 0, 6, 27
"c:\Users\cripe\Desktop\CRBout\src\main.c", "C", 228, 0, 0, 11, 30, 269
"c:\Users\cripe\Desktop\CRBout\src\parser.c", "C", 77, 0, 0, 0, 12, 89
"c:\Users\cripe\Desktop\CRBout\src\parser.h", "C", 23, 0, 0, 0, 6, 29
"c:\Users\cripe\Desktop\CRBout\src\playground.c", "C", 138, 0, 0, 22, 29, 189
"c:\Users\cripe\Desktop\CRBout\src\playground.h", "C", 18, 0, 0, 0, 5, 23
"c:\Users\cripe\Desktop\CRBout\src\pputil.h", "C", 5, 0, 0, 0, 2, 7
"c:\Users\cripe\Desktop\CRBout\src\rbio.c", "C", 83, 0, 0, 0, 15, 98
"c:\Users\cripe\Desktop\CRBout\src\rbio.h", "C", 10, 0, 0, 0, 3, 13
"c:\Users\cripe\Desktop\CRBout\src\rbstate.c", "C", 826, 0, 0, 9, 112, 947
"c:\Users\cripe\Desktop\CRBout\src\rbstate.h", "C", 64, 0, 0, 12, 12, 88
"c:\Users\cripe\Desktop\CRBout\src\stack.c", "C", 65, 0, 0, 2, 15, 82
"c:\Users\cripe\Desktop\CRBout\src\stack.h", "C", 18, 0, 0, 0, 5, 23
"c:\Users\cripe\Desktop\CRBout\src\tesc.c", "C", 42, 0, 0, 0, 4, 46
"c:\Users\cripe\Desktop\CRBout\src\tesc.h", "C", 41, 0, 0, 14, 17, 72
"c:\Users\cripe\Desktop\CRBout\src\utils.c", "C", 43, 0, 0, 0, 7, 50
"c:\Users\cripe\Desktop\CRBout\src\utils.h", "C", 34, 0, 0, 0, 7, 41
"c:\Users\cripe\Desktop\CRBout\src\valuetypes.h", "C", 10, 0, 0, 0, 5, 15
"c:\Users\cripe\Desktop\CRBout\test\test.c", "C", 0, 0, 0, 0, 1, 1
"Total", "-", 3234, 9, 6, 395, 649, 4293
